2026-02-21 18:10:15,114 | INFO     | infrastructure | groww_client.py:120 | __init__ | GrowwClient initialized
2026-02-21 18:10:15,114 | INFO     | infrastructure | groww_client.py:262 | get_groww_client | Created new GrowwClient instance
2026-02-21 18:10:15,114 | INFO     | root | main.py:156 | logging_middleware | [f21fada4] ← Response POST /api/backtest/run 200 in 2.25ms
2026-02-21 18:10:15,115 | INFO     | strategies.registry | registry.py:25 | register | Registered strategy: momentum_scalp -> MomentumScalping
2026-02-21 18:10:15,115 | INFO     | strategies.registry | registry.py:25 | register | Registered strategy: mean_reversion -> MeanReversion
2026-02-21 18:10:15,115 | INFO     | strategies.registry | registry.py:59 | initialize | Initialized StrategyRegistry with 2 strategies
2026-02-21 18:10:15,356 | INFO     | infrastructure | groww_client.py:77 | _create_groww_client | Loaded persisted token from disk (age 4702s)
2026-02-21 18:10:15,867 | INFO     | backtest_cache | backtest_cache.py:234 | get_candles | Backtest cache: fetched 0 candles for NSE-TATAELXSI 5minute (2026-02-16 09:15:00 to 2026-02-20 15:30:00)
2026-02-21 18:10:15,867 | WARNING  | backtest_cache | backtest_cache.py:247 | get_candles | Backtest cache: API returned 0 candles for NSE-TATAELXSI 5minute (2026-02-16 09:15:00–2026-02-20 15:30:00). Response: {'candles': [], 'closing_price': None, 'start_time': None, 'end_time': None, 'interval_in_minutes': None}
2026-02-21 18:10:30,826 | INFO     | root | main.py:133 | logging_middleware | [a4585909] → Request POST /api/backtest/run
2026-02-21 18:10:30,827 | INFO     | root | main.py:156 | logging_middleware | [a4585909] ← Response POST /api/backtest/run 200 in 0.96ms
2026-02-21 18:10:31,050 | INFO     | backtest_cache | backtest_cache.py:234 | get_candles | Backtest cache: fetched 0 candles for NSE-RELIANCE 5minute (2025-02-10 09:15:00 to 2025-02-14 15:30:00)
2026-02-21 18:10:31,050 | WARNING  | backtest_cache | backtest_cache.py:247 | get_candles | Backtest cache: API returned 0 candles for NSE-RELIANCE 5minute (2025-02-10 09:15:00–2025-02-14 15:30:00). Response: {'candles': [], 'closing_price': None, 'start_time': None, 'end_time': None, 'interval_in_minutes': None}
2026-02-21 18:10:39,066 | INFO     | root | main.py:133 | logging_middleware | [ba891171] → Request POST /api/backtest/run
2026-02-21 18:10:39,068 | INFO     | root | main.py:156 | logging_middleware | [ba891171] ← Response POST /api/backtest/run 200 in 1.92ms
2026-02-21 18:10:39,326 | INFO     | backtest_cache | backtest_cache.py:234 | get_candles | Backtest cache: fetched 404 candles for RELIANCE 5minute (2025-02-10 09:15:00 to 2025-02-14 15:30:00)
2026-02-21 18:10:39,348 | INFO     | backtest_engine | backtest_engine.py:368 | run_backtest | Saved backtest run 11 for RELIANCE
2026-02-21 18:10:48,658 | INFO     | root | main.py:133 | logging_middleware | [752a671c] → Request GET /api/backtest/history
2026-02-21 18:10:48,661 | INFO     | root | main.py:156 | logging_middleware | [752a671c] ← Response GET /api/backtest/history 200 in 2.85ms
2026-02-21 18:14:34,702 | INFO     | root | main.py:133 | logging_middleware | [998b12af] → Request GET /api/algos
2026-02-21 18:14:34,703 | INFO     | root | main.py:133 | logging_middleware | [28cf079c] → Request GET /api/backtest/history
2026-02-21 18:14:34,708 | INFO     | root | main.py:156 | logging_middleware | [998b12af] ← Response GET /api/algos 307 in 5.35ms
2026-02-21 18:14:34,715 | INFO     | root | main.py:156 | logging_middleware | [28cf079c] ← Response GET /api/backtest/history 200 in 11.57ms
2026-02-21 18:14:34,717 | INFO     | root | main.py:133 | logging_middleware | [6ed82c17] → Request GET /api/algos/
2026-02-21 18:14:34,720 | INFO     | api.algos | algos.py:29 | list_algos | [070ca989] Listing algorithms
2026-02-21 18:14:34,727 | INFO     | api.algos | algos.py:44 | list_algos | [070ca989] Found 2 algorithms in 6.72ms
2026-02-21 18:14:34,727 | INFO     | root | main.py:156 | logging_middleware | [6ed82c17] ← Response GET /api/algos/ 200 in 9.82ms
2026-02-21 18:14:47,053 | INFO     | root | main.py:133 | logging_middleware | [c99ce699] → Request OPTIONS /api/backtest/run
2026-02-21 18:14:47,054 | INFO     | root | main.py:156 | logging_middleware | [c99ce699] ← Response OPTIONS /api/backtest/run 200 in 0.62ms
2026-02-21 18:14:47,055 | INFO     | root | main.py:133 | logging_middleware | [8a3ee6de] → Request POST /api/backtest/run
2026-02-21 18:14:47,057 | INFO     | root | main.py:156 | logging_middleware | [8a3ee6de] ← Response POST /api/backtest/run 200 in 2.05ms
2026-02-21 18:14:47,293 | INFO     | backtest_cache | backtest_cache.py:234 | get_candles | Backtest cache: fetched 0 candles for NSE-TATAELXSI 5minute (2026-02-16 09:15:00 to 2026-02-20 15:30:00)
2026-02-21 18:14:47,293 | WARNING  | backtest_cache | backtest_cache.py:247 | get_candles | Backtest cache: API returned 0 candles for NSE-TATAELXSI 5minute (2026-02-16 09:15:00–2026-02-20 15:30:00). Response: {'candles': [], 'closing_price': None, 'start_time': None, 'end_time': None, 'interval_in_minutes': None}
2026-02-21 18:15:03,664 | INFO     | root | main.py:133 | logging_middleware | [d6a73347] → Request POST /api/backtest/run
2026-02-21 18:15:03,665 | INFO     | root | main.py:156 | logging_middleware | [d6a73347] ← Response POST /api/backtest/run 200 in 0.83ms
2026-02-21 18:15:03,697 | INFO     | backtest_engine | backtest_engine.py:368 | run_backtest | Saved backtest run 12 for NSE-WIPRO
2026-02-21 18:15:03,706 | INFO     | root | main.py:133 | logging_middleware | [27a7b1ad] → Request GET /api/backtest/history
2026-02-21 18:15:03,708 | INFO     | root | main.py:156 | logging_middleware | [27a7b1ad] ← Response GET /api/backtest/history 200 in 1.71ms
2026-02-21 18:19:58,197 | INFO     | root | main.py:133 | logging_middleware | [1385ba89] → Request POST /api/backtest/run
2026-02-21 18:19:58,199 | INFO     | root | main.py:156 | logging_middleware | [1385ba89] ← Response POST /api/backtest/run 200 in 2.06ms
2026-02-21 18:19:58,445 | INFO     | backtest_cache | backtest_cache.py:234 | get_candles | Backtest cache: fetched 0 candles for NSE-NIFTY50 5minute (2026-02-16 09:15:00 to 2026-02-20 15:30:00)
2026-02-21 18:19:58,445 | WARNING  | backtest_cache | backtest_cache.py:247 | get_candles | Backtest cache: API returned 0 candles for NSE-NIFTY50 5minute (2026-02-16 09:15:00–2026-02-20 15:30:00). Response: {'candles': [], 'closing_price': None, 'start_time': None, 'end_time': None, 'interval_in_minutes': None}
2026-02-21 18:21:32,312 | INFO     | root | main.py:133 | logging_middleware | [5eace355] → Request POST /api/backtest/run
2026-02-21 18:21:32,315 | INFO     | root | main.py:156 | logging_middleware | [5eace355] ← Response POST /api/backtest/run 200 in 2.78ms
2026-02-21 18:21:32,619 | INFO     | backtest_cache | backtest_cache.py:234 | get_candles | Backtest cache: fetched 0 candles for NSE-SETFNIF50 5minute (2026-02-16 09:15:00 to 2026-02-20 15:30:00)
2026-02-21 18:21:32,619 | WARNING  | backtest_cache | backtest_cache.py:247 | get_candles | Backtest cache: API returned 0 candles for NSE-SETFNIF50 5minute (2026-02-16 09:15:00–2026-02-20 15:30:00). Response: {'candles': [], 'closing_price': None, 'start_time': None, 'end_time': None, 'interval_in_minutes': None}
2026-02-21 18:22:11,370 | INFO     | root | main.py:133 | logging_middleware | [a74b34ea] → Request POST /api/backtest/run
2026-02-21 18:22:11,373 | INFO     | root | main.py:156 | logging_middleware | [a74b34ea] ← Response POST /api/backtest/run 200 in 2.57ms
2026-02-21 18:22:11,532 | INFO     | backtest_cache | backtest_cache.py:234 | get_candles | Backtest cache: fetched 0 candles for NSE-SETFNIFTY 5minute (2026-02-16 09:15:00 to 2026-02-20 15:30:00)
2026-02-21 18:22:11,532 | WARNING  | backtest_cache | backtest_cache.py:247 | get_candles | Backtest cache: API returned 0 candles for NSE-SETFNIFTY 5minute (2026-02-16 09:15:00–2026-02-20 15:30:00). Response: {'candles': [], 'closing_price': None, 'start_time': None, 'end_time': None, 'interval_in_minutes': None}
2026-02-21 18:22:28,994 | INFO     | root | main.py:91 | lifespan | ============================================================
2026-02-21 18:22:28,997 | INFO     | root | main.py:92 | lifespan | Shutting down GrowwBot API Server
2026-02-21 18:22:28,997 | INFO     | root | main.py:93 | lifespan | ============================================================
2026-02-21 18:22:28,997 | INFO     | root | main.py:95 | lifespan | Stopping algo engine...
2026-02-21 18:22:44,002 | INFO     | services.algo_engine | algo_engine.py:154 | stop | AlgoEngine stopped
2026-02-21 18:22:44,005 | INFO     | root | main.py:97 | lifespan | Algo engine stopped
2026-02-21 18:22:44,005 | INFO     | root | main.py:99 | lifespan | Stopping position monitor...
2026-02-21 18:22:45,951 | INFO     | services.position_monitor | position_monitor.py:55 | stop | PositionMonitor stopped
2026-02-21 18:22:45,951 | INFO     | root | main.py:101 | lifespan | Position monitor stopped
2026-02-21 18:22:45,952 | INFO     | root | main.py:103 | lifespan | ✅ Server shutdown complete
2026-02-21 18:54:24,085 | INFO     | services.algo_engine | algo_engine.py:130 | register_algo | Registered algo: momentum_scalp (Momentum Scalping) enabled=True
2026-02-21 18:54:24,085 | INFO     | services.algo_engine | algo_engine.py:130 | register_algo | Registered algo: mean_reversion (Mean Reversion) enabled=True
2026-02-21 18:54:24,102 | INFO     | root | main.py:239 | <module> | New API routes mounted
2026-02-21 18:54:24,102 | INFO     | root | main.py:245 | <module> | WebSocket routes mounted
2026-02-21 18:54:24,102 | INFO     | root | main.py:60 | lifespan | ============================================================
2026-02-21 18:54:24,102 | INFO     | root | main.py:61 | lifespan | Starting GrowwBot API Server
2026-02-21 18:54:24,102 | INFO     | root | main.py:62 | lifespan | ============================================================
2026-02-21 18:54:24,102 | INFO     | root | main.py:65 | lifespan | Initializing database...
2026-02-21 18:54:24,103 | INFO     | root | main.py:67 | lifespan | Database initialized
2026-02-21 18:54:24,103 | INFO     | root | main.py:75 | lifespan | Services initialized
2026-02-21 18:54:24,103 | INFO     | root | main.py:78 | lifespan | Starting position monitor...
2026-02-21 18:54:24,103 | INFO     | services.position_monitor | position_monitor.py:49 | start | PositionMonitor started (poll every 5s)
2026-02-21 18:54:24,103 | INFO     | root | main.py:80 | lifespan | Position monitor started
2026-02-21 18:54:24,103 | INFO     | root | main.py:82 | lifespan | Starting algo engine...
2026-02-21 18:54:24,103 | INFO     | services.algo_engine | algo_engine.py:267 | _loop | AlgoEngine loop starting
2026-02-21 18:54:24,103 | INFO     | services.algo_engine | algo_engine.py:144 | start | AlgoEngine started with 2 algorithms: momentum_scalp, mean_reversion
2026-02-21 18:54:24,103 | INFO     | root | main.py:84 | lifespan | Algo engine started
2026-02-21 18:54:24,103 | INFO     | root | main.py:86 | lifespan | ✅ Server startup complete
2026-02-21 18:54:31,398 | INFO     | root | main.py:133 | logging_middleware | [87ee330b] → Request GET /api/algos
2026-02-21 18:54:31,398 | INFO     | root | main.py:133 | logging_middleware | [5d99f5e2] → Request POST /api/cache/warmup
2026-02-21 18:54:31,398 | INFO     | root | main.py:133 | logging_middleware | [d83cbe3d] → Request GET /api/backtest/history
2026-02-21 18:54:31,412 | INFO     | root | main.py:156 | logging_middleware | [87ee330b] ← Response GET /api/algos 307 in 14.23ms
2026-02-21 18:54:31,413 | INFO     | root | main.py:156 | logging_middleware | [d83cbe3d] ← Response GET /api/backtest/history 200 in 15.00ms
2026-02-21 18:54:31,414 | INFO     | infrastructure | groww_client.py:120 | __init__ | GrowwClient initialized
2026-02-21 18:54:31,414 | INFO     | infrastructure | groww_client.py:262 | get_groww_client | Created new GrowwClient instance
2026-02-21 18:54:31,414 | INFO     | root | main.py:133 | logging_middleware | [f9aa4617] → Request GET /api/algos/
2026-02-21 18:54:31,416 | INFO     | root | main.py:156 | logging_middleware | [5d99f5e2] ← Response POST /api/cache/warmup 200 in 18.21ms
2026-02-21 18:54:31,417 | INFO     | api.algos | algos.py:29 | list_algos | [26c30a1a] Listing algorithms
2026-02-21 18:54:31,423 | INFO     | api.algos | algos.py:44 | list_algos | [26c30a1a] Found 2 algorithms in 6.07ms
2026-02-21 18:54:31,427 | INFO     | root | main.py:156 | logging_middleware | [f9aa4617] ← Response GET /api/algos/ 200 in 12.23ms
2026-02-21 18:54:31,445 | INFO     | cache | cache.py:119 | warmup | Cache warmup started
2026-02-21 18:54:31,679 | INFO     | infrastructure | groww_client.py:77 | _create_groww_client | Loaded persisted token from disk (age 7358s)
2026-02-21 18:54:34,860 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 0 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:34,963 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 50 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:35,064 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 100 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:35,165 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 150 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:35,270 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 200 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:35,375 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 250 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:35,480 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 300 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:35,585 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 350 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:35,690 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 400 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:35,795 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 450 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:35,901 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 500 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
